"","Date","Region","Store","Units.Sold","Average.Retail.Price","Sales.Rep","Endcap","Demo","Demo1.3","Demo4.5","Natural","Fitness"
"208","7/6/2010","MA","Mount Washington",299.3055482,3.608571429,0,0,0,0,1,0,0
"209","7/13/2010","MA","Mount Washington",249.2742482,3.608571429,0,0,0,0,1,0,0
"210","5/4/2010","MA","Old Town",113.5107312,3.904285714,0,0,0,0,0,1,4
"211","5/11/2010","MA","Old Town",267.53139,3.54,0,0,0,0,0,1,4
"212","5/18/2010","MA","Old Town",175.8285539,3.34,0,0,0,0,0,1,4
"213","5/25/2010","MA","Old Town",235.5675667,3.412222222,0,0,0,0,0,1,4
"214","6/1/2010","MA","Old Town",151.3372704,3.34,0,0,0,0,0,1,4
"215","6/8/2010","MA","Old Town",211.4232455,3.634444444,0,0,0,0,0,1,4
"216","6/15/2010","MA","Old Town",272.302038,3.54,0,0,0,0,0,1,4
"217","6/22/2010","MA","Old Town",163.0252892,3.54,0,0,0,0,0,1,4
"218","6/29/2010","MA","Old Town",170.9624809,3.54,0,0,0,0,0,1,4
"219","7/6/2010","MA","Old Town",176.1516892,3.126,0,0,0,0,0,1,4
"220","7/13/2010","MA","Old Town",145.6504316,3.126,0,0,0,0,0,1,4
"221","5/4/2010","MA","P Street",136.5730846,4.1275,0,0,0,0,0,1,4
"222","5/11/2010","MA","P Street",274.9094905,3.54,0,0,0,0,0,1,4
"223","5/18/2010","MA","P Street",201.6884472,3.598333333,0,0,0,0,0,1,4
"224","5/25/2010","MA","P Street",173.8882742,3.598333333,0,0,0,0,0,1,4
"225","6/1/2010","MA","P Street",253.9583351,3.598333333,0,0,0,0,0,1,4
"226","6/8/2010","MA","P Street",236.7491477,4.056666667,0,0,0,0,0,1,4
"227","6/15/2010","MA","P Street",269.8142453,4.056666667,0,0,0,0,0,1,4
"228","6/22/2010","MA","P Street",348.9255606,4.056666667,0,0,1,0,0,1,4
"229","6/29/2010","MA","P Street",243.088111,4.056666667,0,0,0,1,0,1,4
"230","7/6/2010","MA","P Street",273.5322525,3.711666667,0,0,0,1,0,1,4
